id,type,title,author,year,lang,file_x,file_y
journal-article-10.2307_40982841,research-article,"Between Past and Present, Jew and Arab: An Exchange between Gil Anidjar and David N. Myers: The Sound of a Tree",Gil Anidjar,2010,eng,journal-article-10.2307_40982841.xml,journal-article-10.2307_40982841-ngram1.txt
journal-article-10.2307_4131724,book-review,,Dana Evan Kaplan,2002,eng,journal-article-10.2307_4131724.xml,journal-article-10.2307_4131724-ngram1.txt
journal-article-10.2307_25654618,book-review,,Willi Goetschel,2009,eng,journal-article-10.2307_25654618.xml,journal-article-10.2307_25654618-ngram1.txt
journal-article-10.2307_40982856,book-review,,Matthias Lehmann,2010,eng,journal-article-10.2307_40982856.xml,journal-article-10.2307_40982856-ngram1.txt
journal-article-10.2307_1486468,book-review,"
         ",Lance J. Sussman,1990,eng,journal-article-10.2307_1486468.xml,journal-article-10.2307_1486468-ngram1.txt
journal-article-10.2307_1486898,book-review,"
         ",Joseph Davis,1990,eng,journal-article-10.2307_1486898.xml,journal-article-10.2307_1486898-ngram1.txt
journal-article-10.2307_1486278,book-review,"
         ",Stanley Nash,1985,eng,journal-article-10.2307_1486278.xml,journal-article-10.2307_1486278-ngram1.txt
journal-article-10.2307_1486311,research-article,Three Trousseaux of Jewish Brides from the Fatimid Period,Shelomo Dov Goitein,1977,eng,journal-article-10.2307_1486311.xml,journal-article-10.2307_1486311-ngram1.txt
journal-article-10.2307_1486409,research-article,"Anglo-Jewry and the Jewish International Traffic in Prostitution, 1885-1914",Lloyd P. Gartner,1982,eng,journal-article-10.2307_1486409.xml,journal-article-10.2307_1486409-ngram1.txt
journal-article-10.2307_4131654,book-review,,Y. Michal Bodemann,2006,eng,journal-article-10.2307_4131654.xml,journal-article-10.2307_4131654-ngram1.txt
journal-article-10.2307_1487010,misc,Back Matter,,1991,eng,journal-article-10.2307_1487010.xml,journal-article-10.2307_1487010-ngram1.txt
journal-article-10.2307_24273646,research-article,The Animalistic Gullet and the Godlike Soul: Reframing Sacrifice in Midrash Leviticus Rabbah,Mira Balberg,2014,eng,journal-article-10.2307_24273646.xml,journal-article-10.2307_24273646-ngram1.txt
journal-article-10.2307_4131585,book-review,"
         ",,2002,eng,journal-article-10.2307_4131585.xml,journal-article-10.2307_4131585-ngram1.txt
journal-article-10.2307_4131515,research-article,"Jew, Zionist, Hebrew, or Israeli? Transformations in the Identity of Jacob in the Novels of Benjamin Tammuz and Meir Shalev",,2004,eng,journal-article-10.2307_4131515.xml,journal-article-10.2307_4131515-ngram1.txt
journal-article-10.2307_4131646,book-review,,Alan T. Levenson,2006,eng,journal-article-10.2307_4131646.xml,journal-article-10.2307_4131646-ngram1.txt
journal-article-10.2307_1486384,book-review,"
         ",David N. Myers,1987,eng,journal-article-10.2307_1486384.xml,journal-article-10.2307_1486384-ngram1.txt
journal-article-10.2307_23319578,book-review,,Deeana Klepper,2012,eng,journal-article-10.2307_23319578.xml,journal-article-10.2307_23319578-ngram1.txt
journal-article-10.2307_41310660,book-review,,Stanley Mirvis,2011,eng,journal-article-10.2307_41310660.xml,journal-article-10.2307_41310660-ngram1.txt
journal-article-10.2307_1486571,research-article,"Philosophy, Dogma, and Exegesis in Medieval Ashkenazic Judaism: The Evidence of ""Sefer Hadrat Qodesh""",Joseph M. Davis,1993,eng,journal-article-10.2307_1486571.xml,journal-article-10.2307_1486571-ngram1.txt
journal-article-10.2307_1486907,book-review,,Haym Soloveitchik,1998,eng,journal-article-10.2307_1486907.xml,journal-article-10.2307_1486907-ngram1.txt
journal-article-10.2307_1486857,book-review,"
         ",Ephraim Tabory,1995,eng,journal-article-10.2307_1486857.xml,journal-article-10.2307_1486857-ngram1.txt
journal-article-10.2307_1486784,book-review,"
         ",Herbert Bronstein,1999,eng,journal-article-10.2307_1486784.xml,journal-article-10.2307_1486784-ngram1.txt
journal-article-10.2307_4131626,book-review,,Robert A. Rockaway,2003,eng,journal-article-10.2307_4131626.xml,journal-article-10.2307_4131626-ngram1.txt
journal-article-10.2307_1486426,research-article, ‎‮תמונת מחוג שוחרי העברית בברלין‬‎‎ (1914-1900)‬ ,‮שלמה נש‬,1978,heb,journal-article-10.2307_1486426.xml,journal-article-10.2307_1486426-ngram1.txt
journal-article-10.2307_1486518,misc,Front Matter,,1999,eng,journal-article-10.2307_1486518.xml,journal-article-10.2307_1486518-ngram1.txt
journal-article-10.2307_1486766,book-review,"
         ",Hayim Lapin,1999,eng,journal-article-10.2307_1486766.xml,journal-article-10.2307_1486766-ngram1.txt
journal-article-10.2307_4131716,book-review,,Diane Wolfthal,2002,eng,journal-article-10.2307_4131716.xml,journal-article-10.2307_4131716-ngram1.txt
journal-article-10.2307_4131798,book-review,,Zachary Braiterman,2003,eng,journal-article-10.2307_4131798.xml,journal-article-10.2307_4131798-ngram1.txt
journal-article-10.2307_1486917,book-review,,Renée Levine Melammed,1998,eng,journal-article-10.2307_1486917.xml,journal-article-10.2307_1486917-ngram1.txt
journal-article-10.2307_40982805,research-article,He Took the Knife: Biblical Narrative and the Formation of Rabbinic Law,Jane Kanarek,2010,eng,journal-article-10.2307_40982805.xml,journal-article-10.2307_40982805-ngram1.txt
journal-article-10.2307_1486542,book-review,"
         ",Gary S. Schiff,1999,eng,journal-article-10.2307_1486542.xml,journal-article-10.2307_1486542-ngram1.txt
journal-article-10.2307_41310642,book-review,,Lynn Davidman,2011,eng,journal-article-10.2307_41310642.xml,journal-article-10.2307_41310642-ngram1.txt
journal-article-10.2307_1486306,research-article,The Household Table in Rabbinic Palestine,Joseph Tabory,1979,eng,journal-article-10.2307_1486306.xml,journal-article-10.2307_1486306-ngram1.txt
journal-article-10.2307_1486912,book-review,,Moshe J. Bernstein,1998,eng,journal-article-10.2307_1486912.xml,journal-article-10.2307_1486912-ngram1.txt
journal-article-10.2307_1486255,misc,Books Received,,1986,eng,journal-article-10.2307_1486255.xml,journal-article-10.2307_1486255-ngram1.txt
journal-article-10.2307_1486315,research-article,The Jewish Mercantile Settlement of Twelfth and Thirteenth Century Venice: Reality or Conjecture?,Benjamin Ravid,1977,eng,journal-article-10.2307_1486315.xml,journal-article-10.2307_1486315-ngram1.txt
journal-article-10.2307_4131665,research-article,A Dignitary in the Land? Literary Representations of the American Rabbi,,2006,eng,journal-article-10.2307_4131665.xml,journal-article-10.2307_4131665-ngram1.txt
journal-article-10.2307_4131632,book-review,,Leonard Fein,2003,eng,journal-article-10.2307_4131632.xml,journal-article-10.2307_4131632-ngram1.txt
journal-article-10.2307_27564330,research-article,Job the Patient/Maimonides the Physician: A Case Study in the Unity of Maimonides' Thought,Jason Kalman,2008,eng,journal-article-10.2307_27564330.xml,journal-article-10.2307_27564330-ngram1.txt
journal-article-10.2307_4131785,book-review,,Joel Hecker,2003,eng,journal-article-10.2307_4131785.xml,journal-article-10.2307_4131785-ngram1.txt
journal-article-10.2307_41310644,misc,Back Matter,,2011,eng,journal-article-10.2307_41310644.xml,journal-article-10.2307_41310644-ngram1.txt
journal-article-10.2307_1486992,book-review,Egypt and beyond: The Jews of the Arab Countries in Modern Times,Michael M. Laskier,1991,eng,journal-article-10.2307_1486992.xml,journal-article-10.2307_1486992-ngram1.txt
journal-article-10.2307_1486970,book-review,"
         ",Jonathan D. Sarna,1992,eng,journal-article-10.2307_1486970.xml,journal-article-10.2307_1486970-ngram1.txt
journal-article-10.2307_27564281,book-review,,Edward Breuer,2007,eng,journal-article-10.2307_27564281.xml,journal-article-10.2307_27564281-ngram1.txt
journal-article-10.2307_40982808,book-review,,Michael Helfield,2010,eng,journal-article-10.2307_40982808.xml,journal-article-10.2307_40982808-ngram1.txt
journal-article-10.2307_4131778,book-review,,Jeffrey Rubenstein,2003,eng,journal-article-10.2307_4131778.xml,journal-article-10.2307_4131778-ngram1.txt
journal-article-10.2307_1486555,book-review,"
         ",Robert Eisen,1997,eng,journal-article-10.2307_1486555.xml,journal-article-10.2307_1486555-ngram1.txt
journal-article-10.2307_1486821,research-article,"""A Different Kind of Hell"": Orality, Multilingualism, and American Yiddish in the Translation of Sholem Aleichem's ""Mister Boym in Klozet""",Kenneth Wishnia,1995,eng,journal-article-10.2307_1486821.xml,journal-article-10.2307_1486821-ngram1.txt
journal-article-10.2307_27564260,research-article,"""The Lord Brought Us Forth from Egypt"": On the Absence of Moses in the Passover Haggadah",David Henshke,2007,eng,journal-article-10.2307_27564260.xml,journal-article-10.2307_27564260-ngram1.txt
journal-article-10.2307_4131516,research-article,Biblical Allusions in Modern and Postmodern Hebrew Literature,Avraham Balaban,2004,eng,journal-article-10.2307_4131516.xml,journal-article-10.2307_4131516-ngram1.txt
journal-article-10.2307_4131766,misc,Front Matter,,2003,eng,journal-article-10.2307_4131766.xml,journal-article-10.2307_4131766-ngram1.txt
journal-article-10.2307_27564334,book-review,,Matthias Henze,2008,eng,journal-article-10.2307_27564334.xml,journal-article-10.2307_27564334-ngram1.txt
journal-article-10.2307_4131764,book-review,,Harold M. Waller,2005,eng,journal-article-10.2307_4131764.xml,journal-article-10.2307_4131764-ngram1.txt
journal-article-10.2307_4131794,book-review,,Moshe Cohen,2003,eng,journal-article-10.2307_4131794.xml,journal-article-10.2307_4131794-ngram1.txt
journal-article-10.2307_1486695,misc,Books Received,,1996,eng,journal-article-10.2307_1486695.xml,journal-article-10.2307_1486695-ngram1.txt
journal-article-10.2307_23319567,book-review,,Melissa R. Klapper,2012,eng,journal-article-10.2307_23319567.xml,journal-article-10.2307_23319567-ngram1.txt
journal-article-10.2307_1486832,book-review,"
         ",Seth Schwartz,1995,eng,journal-article-10.2307_1486832.xml,journal-article-10.2307_1486832-ngram1.txt
journal-article-10.2307_4131553,misc,Back Matter,,2004,eng,journal-article-10.2307_4131553.xml,journal-article-10.2307_4131553-ngram1.txt
journal-article-10.2307_1487023,book-review,"
         ",Paula E. Hyman,1992,eng,journal-article-10.2307_1487023.xml,journal-article-10.2307_1487023-ngram1.txt
journal-article-10.2307_4131662,misc,Front Matter,,2006,eng,journal-article-10.2307_4131662.xml,journal-article-10.2307_4131662-ngram1.txt
journal-article-10.2307_1486850,book-review,"
         ",Avigdor Levy,1995,eng,journal-article-10.2307_1486850.xml,journal-article-10.2307_1486850-ngram1.txt
journal-article-10.2307_4131608,research-article,"The Maskil, the Convert, and the 'Agunah: Joseph Perl as a Historian of Jewish Divorce Law",Nancy Sinkoff,2003,eng,journal-article-10.2307_4131608.xml,journal-article-10.2307_4131608-ngram1.txt
journal-article-10.2307_24273660,book-review,,Hilary Lipka,2014,eng,journal-article-10.2307_24273660.xml,journal-article-10.2307_24273660-ngram1.txt
journal-article-10.2307_40982834,research-article,Between Zionism and Liberalism: Oscar Janowsky and Diaspora Nationalism in America,James Loeffler,2010,eng,journal-article-10.2307_40982834.xml,journal-article-10.2307_40982834-ngram1.txt
journal-article-10.2307_4131532,book-review,,Harvey E. Goldberg,2004,eng,journal-article-10.2307_4131532.xml,journal-article-10.2307_4131532-ngram1.txt
journal-article-10.2307_25654643,book-review,,Kimberly B. Stratton,2009,eng,journal-article-10.2307_25654643.xml,journal-article-10.2307_25654643-ngram1.txt
journal-article-10.2307_27564276,book-review,,Robert A. Harris,2007,eng,journal-article-10.2307_27564276.xml,journal-article-10.2307_27564276-ngram1.txt
journal-article-10.2307_4131808,research-article,Exposed to All the Currents of the Mediterranean: A Sixteenth-Century Venetian Rabbi on Muslim History,Martin Jacobs,2005,eng,journal-article-10.2307_4131808.xml,journal-article-10.2307_4131808-ngram1.txt
journal-article-10.2307_1486667,book-review,"
         ",David J. Halperin,1996,eng,journal-article-10.2307_1486667.xml,journal-article-10.2307_1486667-ngram1.txt
journal-article-10.2307_1486307,research-article, ‮על ר׳ משה נרבוני ור׳ אברהם שלום על השפעתו של ס׳ אור השכל‬ ,‮משה אידל‬,1979,heb,journal-article-10.2307_1486307.xml,journal-article-10.2307_1486307-ngram1.txt
journal-article-10.2307_4131748,book-review,,David Engel,2005,eng,journal-article-10.2307_4131748.xml,journal-article-10.2307_4131748-ngram1.txt
journal-article-10.2307_1486709,book-review,"
         ",,1996,eng,journal-article-10.2307_1486709.xml,journal-article-10.2307_1486709-ngram1.txt
journal-article-10.2307_24273557,research-article,"""The Jew Usually Left Those Crimes to Esau"": The Jewish Responses to Accusations about Jewish Criminality in New York, 1908—1913",Gil Ribak,2014,eng,journal-article-10.2307_24273557.xml,journal-article-10.2307_24273557-ngram1.txt
journal-article-10.2307_1566652,research-article,"
               Between Law and Society: Mahariq's Responsum on the ""Ways of the Gentiles"" (Ḥuqqot Ha-'Akkum) 
            ",Jeffrey R. Woolf,2000,eng,journal-article-10.2307_1566652.xml,journal-article-10.2307_1566652-ngram1.txt
journal-article-10.2307_1486416,research-article,Sefirot as the Essence of God in the Writings of David Messer Leon,Hava Tirosh-Rothschild,1982,eng,journal-article-10.2307_1486416.xml,journal-article-10.2307_1486416-ngram1.txt
journal-article-10.2307_1487014,research-article,"Against the Tide: ""The American Hebrew Yearbook,"" 1930-1949",Eli Lederhendler,1992,eng,journal-article-10.2307_1487014.xml,journal-article-10.2307_1487014-ngram1.txt
journal-article-10.2307_24273641,book-review,,Aomar Boum,2013,eng,journal-article-10.2307_24273641.xml,journal-article-10.2307_24273641-ngram1.txt
journal-article-10.2307_4131563,book-review,"
         ",,2002,eng,journal-article-10.2307_4131563.xml,journal-article-10.2307_4131563-ngram1.txt
journal-article-10.2307_1486625,book-review,"
         ",Gary Anderson,1994,eng,journal-article-10.2307_1486625.xml,journal-article-10.2307_1486625-ngram1.txt
journal-article-10.2307_27564397,misc,Back Matter,,2008,eng,journal-article-10.2307_27564397.xml,journal-article-10.2307_27564397-ngram1.txt
journal-article-10.2307_24273678,book-review,,Harvey E. Goldberg,2014,eng,journal-article-10.2307_24273678.xml,journal-article-10.2307_24273678-ngram1.txt
journal-article-10.2307_4131691,book-review,,,2006,eng,journal-article-10.2307_4131691.xml,journal-article-10.2307_4131691-ngram1.txt
journal-article-10.2307_4131627,book-review,,Olga Litvak,2003,eng,journal-article-10.2307_4131627.xml,journal-article-10.2307_4131627-ngram1.txt
journal-article-10.2307_1486431,book-review,"
         ",Eve Adler,1989,eng,journal-article-10.2307_1486431.xml,journal-article-10.2307_1486431-ngram1.txt
journal-article-10.2307_1486291,book-review,"
         ",Michael Stanislawski,1989,eng,journal-article-10.2307_1486291.xml,journal-article-10.2307_1486291-ngram1.txt
journal-article-10.2307_1486285,book-review,"
         ",Michael A. Signer,1989,eng,journal-article-10.2307_1486285.xml,journal-article-10.2307_1486285-ngram1.txt
journal-article-10.2307_24273520,research-article,"""We Act as Their Agents"" and the Prohibition of Judgment by Laymen: A Discussion of Babylonian Talmud Gittin 88b",Amihai Radzyner,2013,eng,journal-article-10.2307_24273520.xml,journal-article-10.2307_24273520-ngram1.txt
journal-article-10.2307_1486256,misc,Front Matter,,1985,eng,journal-article-10.2307_1486256.xml,journal-article-10.2307_1486256-ngram1.txt
journal-article-10.2307_4131692,book-review,,Jacob Meskin,2006,eng,journal-article-10.2307_4131692.xml,journal-article-10.2307_4131692-ngram1.txt
journal-article-10.2307_27564355,misc,Introduction to the Symposium: What Is (The) Mishnah?,Steven D. Fraade,2008,eng,journal-article-10.2307_27564355.xml,journal-article-10.2307_27564355-ngram1.txt
journal-article-10.2307_27564259,research-article,"""Peshat"" and the Authority of ""Hazal"" in the Commentaries of Radak",Yitzhak Berger,2007,eng,journal-article-10.2307_27564259.xml,journal-article-10.2307_27564259-ngram1.txt
journal-article-10.2307_4131731,misc,Front Matter,,2005,eng,journal-article-10.2307_4131731.xml,journal-article-10.2307_4131731-ngram1.txt
journal-article-10.2307_1486944,research-article,A Kabbalistic Perspective on Gender-Specific Commandments: On the Interplay of Symbols and Society,Talya Fishman,1992,eng,journal-article-10.2307_1486944.xml,journal-article-10.2307_1486944-ngram1.txt
journal-article-10.2307_1486779,book-review,"
         ",Elliot Neaman,1999,eng,journal-article-10.2307_1486779.xml,journal-article-10.2307_1486779-ngram1.txt
journal-article-10.2307_1486979,book-review,"
         ",Michael A. Meyer,1992,eng,journal-article-10.2307_1486979.xml,journal-article-10.2307_1486979-ngram1.txt
journal-article-10.2307_1486921,book-review,,Judith Deutsch Kornblatt,1998,eng,journal-article-10.2307_1486921.xml,journal-article-10.2307_1486921-ngram1.txt
journal-article-10.2307_1486756,research-article,Succession to the Rabbinate in Yemen,Aharon Gaimani,1999,eng,journal-article-10.2307_1486756.xml,journal-article-10.2307_1486756-ngram1.txt
journal-article-10.2307_23319561,book-review,,Allison Coudert,2012,eng,journal-article-10.2307_23319561.xml,journal-article-10.2307_23319561-ngram1.txt
journal-article-10.2307_4131611,book-review,,,2003,eng,journal-article-10.2307_4131611.xml,journal-article-10.2307_4131611-ngram1.txt
journal-article-10.2307_1486609,book-review,"
         ",David Engel,1994,eng,journal-article-10.2307_1486609.xml,journal-article-10.2307_1486609-ngram1.txt
journal-article-10.2307_1486406,research-article,Alexander the Great and Jaddus the High Priest According to Josephus,,1982,eng,journal-article-10.2307_1486406.xml,journal-article-10.2307_1486406-ngram1.txt
journal-article-10.2307_4131564,book-review,"
         ",Gary G. Porton,2002,eng,journal-article-10.2307_4131564.xml,journal-article-10.2307_4131564-ngram1.txt
journal-article-10.2307_24273658,research-article,A Colleague Not a Sacred Authority—Reflections on Salo Baron's Scholarly Opus,David Engel,2014,eng,journal-article-10.2307_24273658.xml,journal-article-10.2307_24273658-ngram1.txt
journal-article-10.2307_23319566,book-review,,Kirsten Fermaglich,2012,eng,journal-article-10.2307_23319566.xml,journal-article-10.2307_23319566-ngram1.txt
journal-article-10.2307_1486286,book-review,"
         ",Ken Frieden,1989,eng,journal-article-10.2307_1486286.xml,journal-article-10.2307_1486286-ngram1.txt
journal-article-10.2307_1486807,book-review,"
         ",,1993,eng,journal-article-10.2307_1486807.xml,journal-article-10.2307_1486807-ngram1.txt
journal-article-10.2307_40982828,misc,Front Matter,,2010,eng,journal-article-10.2307_40982828.xml,journal-article-10.2307_40982828-ngram1.txt
journal-article-10.2307_1486411,research-article,The Story as a Hermeneutic Device,Ofra Meir,1982,eng,journal-article-10.2307_1486411.xml,journal-article-10.2307_1486411-ngram1.txt
journal-article-10.2307_1486370,research-article,Champion of Orthodoxy: The Emergence of Samson Raphael Hirsch as Religious Leader,Robert Liberles,1981,eng,journal-article-10.2307_1486370.xml,journal-article-10.2307_1486370-ngram1.txt
journal-article-10.2307_1486575,book-review,Andalusian Types of Ambiguity,Tova Rosen,1993,eng,journal-article-10.2307_1486575.xml,journal-article-10.2307_1486575-ngram1.txt
journal-article-10.2307_27564311,book-review,,Kalman Weiser,2007,eng,journal-article-10.2307_27564311.xml,journal-article-10.2307_27564311-ngram1.txt
journal-article-10.2307_4131681,book-review,,Nancy Levene,2006,eng,journal-article-10.2307_4131681.xml,journal-article-10.2307_4131681-ngram1.txt
journal-article-10.2307_41310635,book-review,,Abraham Ascher,2011,eng,journal-article-10.2307_41310635.xml,journal-article-10.2307_41310635-ngram1.txt
journal-article-10.2307_24273537,book-review,,Rebekka Voß,2013,eng,journal-article-10.2307_24273537.xml,journal-article-10.2307_24273537-ngram1.txt
journal-article-10.2307_1486647,book-review,"
         ",Benjamin Hary,1994,eng,journal-article-10.2307_1486647.xml,journal-article-10.2307_1486647-ngram1.txt
journal-article-10.2307_23319571,misc,Front Matter,,2012,eng,journal-article-10.2307_23319571.xml,journal-article-10.2307_23319571-ngram1.txt
journal-article-10.2307_4131574,book-review,"
         ",Judith R. Baskin,2002,eng,journal-article-10.2307_4131574.xml,journal-article-10.2307_4131574-ngram1.txt
journal-article-10.2307_25654655,book-review,,Tony Michels,2009,eng,journal-article-10.2307_25654655.xml,journal-article-10.2307_25654655-ngram1.txt
journal-article-10.2307_1486560,book-review,"
         ",Marsha L. Rozenblit,1997,eng,journal-article-10.2307_1486560.xml,journal-article-10.2307_1486560-ngram1.txt
journal-article-10.2307_1486486,book-review,"
         ",,1995,eng,journal-article-10.2307_1486486.xml,journal-article-10.2307_1486486-ngram1.txt
