id,type,title,author,auth_gender,year,lang,file_x,file_y
journal-article-10.2307_4131632,book-review,,Leonard Fein,male,2003,eng,journal-article-10.2307_4131632.xml,journal-article-10.2307_4131632-ngram1.txt
journal-article-10.2307_27564330,research-article,Job the Patient/Maimonides the Physician: A Case Study in the Unity of Maimonides' Thought,Jason Kalman,male,2008,eng,journal-article-10.2307_27564330.xml,journal-article-10.2307_27564330-ngram1.txt
journal-article-10.2307_4131785,book-review,,Joel Hecker,male,2003,eng,journal-article-10.2307_4131785.xml,journal-article-10.2307_4131785-ngram1.txt
journal-article-10.2307_1486992,book-review,Egypt and beyond: The Jews of the Arab Countries in Modern Times,Michael M. Laskier,male,1991,eng,journal-article-10.2307_1486992.xml,journal-article-10.2307_1486992-ngram1.txt
journal-article-10.2307_1486970,book-review,"
         ",Jonathan D. Sarna,male,1992,eng,journal-article-10.2307_1486970.xml,journal-article-10.2307_1486970-ngram1.txt
journal-article-10.2307_27564281,book-review,,Edward Breuer,male,2007,eng,journal-article-10.2307_27564281.xml,journal-article-10.2307_27564281-ngram1.txt
journal-article-10.2307_40982808,book-review,,Michael Helfield,male,2010,eng,journal-article-10.2307_40982808.xml,journal-article-10.2307_40982808-ngram1.txt
journal-article-10.2307_4131778,book-review,,Jeffrey Rubenstein,male,2003,eng,journal-article-10.2307_4131778.xml,journal-article-10.2307_4131778-ngram1.txt
journal-article-10.2307_1486555,book-review,"
         ",Robert Eisen,male,1997,eng,journal-article-10.2307_1486555.xml,journal-article-10.2307_1486555-ngram1.txt
journal-article-10.2307_1486821,research-article,"""A Different Kind of Hell"": Orality, Multilingualism, and American Yiddish in the Translation of Sholem Aleichem's ""Mister Boym in Klozet""",Kenneth Wishnia,male,1995,eng,journal-article-10.2307_1486821.xml,journal-article-10.2307_1486821-ngram1.txt
journal-article-10.2307_27564260,research-article,"""The Lord Brought Us Forth from Egypt"": On the Absence of Moses in the Passover Haggadah",David Henshke,male,2007,eng,journal-article-10.2307_27564260.xml,journal-article-10.2307_27564260-ngram1.txt
journal-article-10.2307_4131516,research-article,Biblical Allusions in Modern and Postmodern Hebrew Literature,Avraham Balaban,male,2004,eng,journal-article-10.2307_4131516.xml,journal-article-10.2307_4131516-ngram1.txt
journal-article-10.2307_27564334,book-review,,Matthias Henze,male,2008,eng,journal-article-10.2307_27564334.xml,journal-article-10.2307_27564334-ngram1.txt
journal-article-10.2307_4131764,book-review,,Harold M. Waller,male,2005,eng,journal-article-10.2307_4131764.xml,journal-article-10.2307_4131764-ngram1.txt
journal-article-10.2307_4131794,book-review,,Moshe Cohen,male,2003,eng,journal-article-10.2307_4131794.xml,journal-article-10.2307_4131794-ngram1.txt
journal-article-10.2307_23319567,book-review,,Melissa R. Klapper,female,2012,eng,journal-article-10.2307_23319567.xml,journal-article-10.2307_23319567-ngram1.txt
journal-article-10.2307_1486832,book-review,"
         ",Seth Schwartz,male,1995,eng,journal-article-10.2307_1486832.xml,journal-article-10.2307_1486832-ngram1.txt
journal-article-10.2307_1487023,book-review,"
         ",Paula E. Hyman,female,1992,eng,journal-article-10.2307_1487023.xml,journal-article-10.2307_1487023-ngram1.txt
journal-article-10.2307_1486850,book-review,"
         ",Avigdor Levy,male,1995,eng,journal-article-10.2307_1486850.xml,journal-article-10.2307_1486850-ngram1.txt
journal-article-10.2307_4131608,research-article,"The Maskil, the Convert, and the 'Agunah: Joseph Perl as a Historian of Jewish Divorce Law",Nancy Sinkoff,female,2003,eng,journal-article-10.2307_4131608.xml,journal-article-10.2307_4131608-ngram1.txt
journal-article-10.2307_24273660,book-review,,Hilary Lipka,female,2014,eng,journal-article-10.2307_24273660.xml,journal-article-10.2307_24273660-ngram1.txt
journal-article-10.2307_40982834,research-article,Between Zionism and Liberalism: Oscar Janowsky and Diaspora Nationalism in America,James Loeffler,male,2010,eng,journal-article-10.2307_40982834.xml,journal-article-10.2307_40982834-ngram1.txt
journal-article-10.2307_4131532,book-review,,Harvey E. Goldberg,male,2004,eng,journal-article-10.2307_4131532.xml,journal-article-10.2307_4131532-ngram1.txt
journal-article-10.2307_25654643,book-review,,Kimberly B. Stratton,mostly_female,2009,eng,journal-article-10.2307_25654643.xml,journal-article-10.2307_25654643-ngram1.txt
journal-article-10.2307_27564276,book-review,,Robert A. Harris,male,2007,eng,journal-article-10.2307_27564276.xml,journal-article-10.2307_27564276-ngram1.txt
journal-article-10.2307_4131808,research-article,Exposed to All the Currents of the Mediterranean: A Sixteenth-Century Venetian Rabbi on Muslim History,Martin Jacobs,male,2005,eng,journal-article-10.2307_4131808.xml,journal-article-10.2307_4131808-ngram1.txt
journal-article-10.2307_1486667,book-review,"
         ",David J. Halperin,male,1996,eng,journal-article-10.2307_1486667.xml,journal-article-10.2307_1486667-ngram1.txt
journal-article-10.2307_1486307,research-article, ‮על ר׳ משה נרבוני ור׳ אברהם שלום על השפעתו של ס׳ אור השכל‬ ,‮משה אידל‬,unknown,1979,heb,journal-article-10.2307_1486307.xml,journal-article-10.2307_1486307-ngram1.txt
journal-article-10.2307_4131748,book-review,,David Engel,male,2005,eng,journal-article-10.2307_4131748.xml,journal-article-10.2307_4131748-ngram1.txt
journal-article-10.2307_1486709,book-review,"
         ",,unknown,1996,eng,journal-article-10.2307_1486709.xml,journal-article-10.2307_1486709-ngram1.txt
journal-article-10.2307_24273557,research-article,"""The Jew Usually Left Those Crimes to Esau"": The Jewish Responses to Accusations about Jewish Criminality in New York, 1908—1913",Gil Ribak,male,2014,eng,journal-article-10.2307_24273557.xml,journal-article-10.2307_24273557-ngram1.txt
journal-article-10.2307_1566652,research-article,"
               Between Law and Society: Mahariq's Responsum on the ""Ways of the Gentiles"" (Ḥuqqot Ha-'Akkum) 
            ",Jeffrey R. Woolf,male,2000,eng,journal-article-10.2307_1566652.xml,journal-article-10.2307_1566652-ngram1.txt
journal-article-10.2307_1486416,research-article,Sefirot as the Essence of God in the Writings of David Messer Leon,Hava Tirosh-Rothschild,female,1982,eng,journal-article-10.2307_1486416.xml,journal-article-10.2307_1486416-ngram1.txt
journal-article-10.2307_1487014,research-article,"Against the Tide: ""The American Hebrew Yearbook,"" 1930-1949",Eli Lederhendler,female,1992,eng,journal-article-10.2307_1487014.xml,journal-article-10.2307_1487014-ngram1.txt
journal-article-10.2307_24273641,book-review,,Aomar Boum,unknown,2013,eng,journal-article-10.2307_24273641.xml,journal-article-10.2307_24273641-ngram1.txt
journal-article-10.2307_4131563,book-review,"
         ",,unknown,2002,eng,journal-article-10.2307_4131563.xml,journal-article-10.2307_4131563-ngram1.txt
journal-article-10.2307_1486625,book-review,"
         ",Gary Anderson,male,1994,eng,journal-article-10.2307_1486625.xml,journal-article-10.2307_1486625-ngram1.txt
journal-article-10.2307_24273678,book-review,,Harvey E. Goldberg,male,2014,eng,journal-article-10.2307_24273678.xml,journal-article-10.2307_24273678-ngram1.txt
journal-article-10.2307_4131691,book-review,,,unknown,2006,eng,journal-article-10.2307_4131691.xml,journal-article-10.2307_4131691-ngram1.txt
journal-article-10.2307_4131627,book-review,,Olga Litvak,female,2003,eng,journal-article-10.2307_4131627.xml,journal-article-10.2307_4131627-ngram1.txt
journal-article-10.2307_1486431,book-review,"
         ",Eve Adler,female,1989,eng,journal-article-10.2307_1486431.xml,journal-article-10.2307_1486431-ngram1.txt
journal-article-10.2307_1486291,book-review,"
         ",Michael Stanislawski,male,1989,eng,journal-article-10.2307_1486291.xml,journal-article-10.2307_1486291-ngram1.txt
journal-article-10.2307_1486285,book-review,"
         ",Michael A. Signer,male,1989,eng,journal-article-10.2307_1486285.xml,journal-article-10.2307_1486285-ngram1.txt
journal-article-10.2307_24273520,research-article,"""We Act as Their Agents"" and the Prohibition of Judgment by Laymen: A Discussion of Babylonian Talmud Gittin 88b",Amihai Radzyner,male,2013,eng,journal-article-10.2307_24273520.xml,journal-article-10.2307_24273520-ngram1.txt
journal-article-10.2307_4131692,book-review,,Jacob Meskin,male,2006,eng,journal-article-10.2307_4131692.xml,journal-article-10.2307_4131692-ngram1.txt
journal-article-10.2307_27564259,research-article,"""Peshat"" and the Authority of ""Hazal"" in the Commentaries of Radak",Yitzhak Berger,male,2007,eng,journal-article-10.2307_27564259.xml,journal-article-10.2307_27564259-ngram1.txt
journal-article-10.2307_1486944,research-article,A Kabbalistic Perspective on Gender-Specific Commandments: On the Interplay of Symbols and Society,Talya Fishman,female,1992,eng,journal-article-10.2307_1486944.xml,journal-article-10.2307_1486944-ngram1.txt
journal-article-10.2307_1486779,book-review,"
         ",Elliot Neaman,male,1999,eng,journal-article-10.2307_1486779.xml,journal-article-10.2307_1486779-ngram1.txt
journal-article-10.2307_1486979,book-review,"
         ",Michael A. Meyer,male,1992,eng,journal-article-10.2307_1486979.xml,journal-article-10.2307_1486979-ngram1.txt
journal-article-10.2307_1486921,book-review,,Judith Deutsch Kornblatt,female,1998,eng,journal-article-10.2307_1486921.xml,journal-article-10.2307_1486921-ngram1.txt
journal-article-10.2307_1486756,research-article,Succession to the Rabbinate in Yemen,Aharon Gaimani,male,1999,eng,journal-article-10.2307_1486756.xml,journal-article-10.2307_1486756-ngram1.txt
journal-article-10.2307_23319561,book-review,,Allison Coudert,female,2012,eng,journal-article-10.2307_23319561.xml,journal-article-10.2307_23319561-ngram1.txt
journal-article-10.2307_4131611,book-review,,,unknown,2003,eng,journal-article-10.2307_4131611.xml,journal-article-10.2307_4131611-ngram1.txt
journal-article-10.2307_1486609,book-review,"
         ",David Engel,male,1994,eng,journal-article-10.2307_1486609.xml,journal-article-10.2307_1486609-ngram1.txt
journal-article-10.2307_1486406,research-article,Alexander the Great and Jaddus the High Priest According to Josephus,,unknown,1982,eng,journal-article-10.2307_1486406.xml,journal-article-10.2307_1486406-ngram1.txt
journal-article-10.2307_4131564,book-review,"
         ",Gary G. Porton,male,2002,eng,journal-article-10.2307_4131564.xml,journal-article-10.2307_4131564-ngram1.txt
journal-article-10.2307_24273658,research-article,A Colleague Not a Sacred Authority—Reflections on Salo Baron's Scholarly Opus,David Engel,male,2014,eng,journal-article-10.2307_24273658.xml,journal-article-10.2307_24273658-ngram1.txt
journal-article-10.2307_23319566,book-review,,Kirsten Fermaglich,female,2012,eng,journal-article-10.2307_23319566.xml,journal-article-10.2307_23319566-ngram1.txt
journal-article-10.2307_1486286,book-review,"
         ",Ken Frieden,male,1989,eng,journal-article-10.2307_1486286.xml,journal-article-10.2307_1486286-ngram1.txt
journal-article-10.2307_1486807,book-review,"
         ",,unknown,1993,eng,journal-article-10.2307_1486807.xml,journal-article-10.2307_1486807-ngram1.txt
journal-article-10.2307_1486411,research-article,The Story as a Hermeneutic Device,Ofra Meir,female,1982,eng,journal-article-10.2307_1486411.xml,journal-article-10.2307_1486411-ngram1.txt
journal-article-10.2307_1486370,research-article,Champion of Orthodoxy: The Emergence of Samson Raphael Hirsch as Religious Leader,Robert Liberles,male,1981,eng,journal-article-10.2307_1486370.xml,journal-article-10.2307_1486370-ngram1.txt
journal-article-10.2307_1486575,book-review,Andalusian Types of Ambiguity,Tova Rosen,female,1993,eng,journal-article-10.2307_1486575.xml,journal-article-10.2307_1486575-ngram1.txt
journal-article-10.2307_27564311,book-review,,Kalman Weiser,unknown,2007,eng,journal-article-10.2307_27564311.xml,journal-article-10.2307_27564311-ngram1.txt
journal-article-10.2307_4131681,book-review,,Nancy Levene,female,2006,eng,journal-article-10.2307_4131681.xml,journal-article-10.2307_4131681-ngram1.txt
journal-article-10.2307_41310635,book-review,,Abraham Ascher,male,2011,eng,journal-article-10.2307_41310635.xml,journal-article-10.2307_41310635-ngram1.txt
journal-article-10.2307_24273537,book-review,,Rebekka Voß,female,2013,eng,journal-article-10.2307_24273537.xml,journal-article-10.2307_24273537-ngram1.txt
journal-article-10.2307_1486647,book-review,"
         ",Benjamin Hary,male,1994,eng,journal-article-10.2307_1486647.xml,journal-article-10.2307_1486647-ngram1.txt
journal-article-10.2307_4131574,book-review,"
         ",Judith R. Baskin,female,2002,eng,journal-article-10.2307_4131574.xml,journal-article-10.2307_4131574-ngram1.txt
journal-article-10.2307_25654655,book-review,,Tony Michels,male,2009,eng,journal-article-10.2307_25654655.xml,journal-article-10.2307_25654655-ngram1.txt
journal-article-10.2307_1486560,book-review,"
         ",Marsha L. Rozenblit,female,1997,eng,journal-article-10.2307_1486560.xml,journal-article-10.2307_1486560-ngram1.txt
journal-article-10.2307_1486486,book-review,"
         ",,unknown,1995,eng,journal-article-10.2307_1486486.xml,journal-article-10.2307_1486486-ngram1.txt
journal-article-10.2307_27564331,book-review,"""Ḥasidei De'ar'a and Ḥasidei Dekokhvaya': Two Trends in Modern Jewish Historiography",Yohanan Petrovsky-Shtern,male,2008,eng,journal-article-10.2307_27564331.xml,journal-article-10.2307_27564331-ngram1.txt
journal-article-10.2307_4131542,book-review,,Susan Sered,female,2004,eng,journal-article-10.2307_4131542.xml,journal-article-10.2307_4131542-ngram1.txt
journal-article-10.2307_1486550,research-article,"Kovner vs. Kovner ""A Parting from the South"" vs. ""Combat Page""",Reuven Shoham,male,1997,eng,journal-article-10.2307_1486550.xml,journal-article-10.2307_1486550-ngram1.txt
journal-article-10.2307_1486819,research-article,Notions of Gentile Impurity in Ancient Judaism,Jonathan Klawans,male,1995,eng,journal-article-10.2307_1486819.xml,journal-article-10.2307_1486819-ngram1.txt
journal-article-10.2307_1486993,book-review,"
          ",Bernard Grossfeld,male,1991,eng,journal-article-10.2307_1486993.xml,journal-article-10.2307_1486993-ngram1.txt
journal-article-10.2307_1486743,book-review,"
         ",Judith R. Baskin,female,1998,eng,journal-article-10.2307_1486743.xml,journal-article-10.2307_1486743-ngram1.txt
journal-article-10.2307_1486843,book-review,"
         ",Stuart M. Blumin,male,1995,eng,journal-article-10.2307_1486843.xml,journal-article-10.2307_1486843-ngram1.txt
journal-article-10.2307_4131672,book-review,Defending Spinoza?,Michah Gottlieb,unknown,2006,eng,journal-article-10.2307_4131672.xml,journal-article-10.2307_4131672-ngram1.txt
journal-article-10.2307_4131684,book-review,,Marc B. Shapiro,male,2006,eng,journal-article-10.2307_4131684.xml,journal-article-10.2307_4131684-ngram1.txt
journal-article-10.2307_24273567,book-review,,Menachem Kellner,male,2014,eng,journal-article-10.2307_24273567.xml,journal-article-10.2307_24273567-ngram1.txt
journal-article-10.2307_40982843,book-review,,Ronald Hendel,male,2010,eng,journal-article-10.2307_40982843.xml,journal-article-10.2307_40982843-ngram1.txt
journal-article-10.2307_27564286,book-review,,Steven P. Remy,male,2007,eng,journal-article-10.2307_27564286.xml,journal-article-10.2307_27564286-ngram1.txt
journal-article-10.2307_1486476,research-article,Sacrilegious Imagery in Yehuda Amichai's Poetry,Yoseph Milman,male,1995,eng,journal-article-10.2307_1486476.xml,journal-article-10.2307_1486476-ngram1.txt
journal-article-10.2307_1486842,book-review,"
         ",Alan S. Zuckerman,male,1995,eng,journal-article-10.2307_1486842.xml,journal-article-10.2307_1486842-ngram1.txt
