id,type,title,auth1,auth_gender,year
journal-article-10.2307_24273519,research-article,"""The Mystery of Unity"": Poetic and Mystical Aspects of a Unique Zoharic Shema Mystery",Jonatan M. Benarroch,male,2013
journal-article-10.2307_24273526,book-review,,Adiel Schremer,male,2013
journal-article-10.2307_24273531,book-review,,Kalman P. Bland,male,2013
journal-article-10.2307_23319580,book-review,,Kalman P. Bland,male,2012
journal-article-10.2307_40982838,research-article,What Is a Jewish Book?,Yaacob Dweck,male,2010
journal-article-10.2307_25654607,research-article,"Czechs, Germans, Arabs, Jews: Franz Kafka's ""Jackals and Arabs"" between Bohemia and Palestine",Dimitry Shumsky,male,2009
journal-article-10.2307_25654614,book-review,,Azzan Yadin,male,2009
journal-article-10.2307_27564332,book-review,,Ra'anan S. Boustan,male,2008
journal-article-10.2307_27564297,book-review,,Irven M. Resnick,male,2007
journal-article-10.2307_27564303,book-review,,Azzan Yadin,male,2007
journal-article-10.2307_27564307,book-review,,Kalman P. Bland,male,2007
journal-article-10.2307_27564311,book-review,,Kalman Weiser,male,2007
journal-article-10.2307_27564319,book-review,,Ranen Omer-Sherman,male,2007
journal-article-10.2307_4131642,research-article,Borderline Cases: National Identity and Territorial Affinity in A. B. Yehoshua's Mr. Mani,Gilead Morahg,male,2006
journal-article-10.2307_4131672,book-review,Defending Spinoza?,Michah Gottlieb,male,2006
journal-article-10.2307_4131677,book-review,,Adiel Schremer,male,2006
journal-article-10.2307_4131682,book-review,,Y. Tzvi Langermann,male,2006
journal-article-10.2307_4131807,research-article,"
           Oral Orthography: Early Rabbinic Oral and Written Transmission of Parallel Midrashic Tradition: In the Mekhilta of Rabbi Shimon B. Yoḥai and the Mekhilta of Rabbi Ishmael 
        ",W. David Nelson,male,2005
journal-article-10.2307_4131819,book-review,,Kaiman P. Bland,male,2005
journal-article-10.2307_4131820,book-review,,Gidon Rothstein,male,2005
journal-article-10.2307_4131517,research-article,From Myth to History,A. B. Yehoshua,male,2004
journal-article-10.2307_4131539,book-review,,G. Daniel Cohen,male,2004
journal-article-10.2307_4131568,book-review,,Irven M. Resnick,male,2002
journal-article-10.2307_4131696,research-article,The Motif of Blood and Procreation in Franz Rosenzweig,Haggai Dagan,male,2002
journal-article-10.2307_1566658,book-review,,Hayim Lapin,male,2000
journal-article-10.2307_1486759,book-review,Responsa: Literary History and Basic Literacy,Haym Soloveitchik,male,1999
journal-article-10.2307_1486766,book-review,,Hayim Lapin,male,1999
journal-article-10.2307_1486907,book-review,,Haym Soloveitchik,male,1998
journal-article-10.2307_1486935,book-review,,S. Daniel Breslauer,male,1998
journal-article-10.2307_1486936,book-review,,Kalman P. Bland,male,1998
journal-article-10.2307_1486703,book-review,,Mayer I. Gruber,male,1996
journal-article-10.2307_1486479,book-review,,Ziony Zevit,male,1995
journal-article-10.2307_1486498,book-review,,Kalman P. Bland,male,1995
journal-article-10.2307_1486613,book-review,,S. Daniel Breslauer,male,1994
journal-article-10.2307_1486632,book-review,,Kalman P. Bland,male,1994
journal-article-10.2307_1486636,book-review,,W. Dwight Van Horn,male,1994
journal-article-10.2307_1486593,book-review,,S. Daniel Breslauer,male,1993
journal-article-10.2307_1486594,book-review,,S. Daniel Breslauer,male,1993
journal-article-10.2307_1486797,research-article,The Last Jewish Generalist,Ismar Schorsch,male,1993
journal-article-10.2307_1486804,book-review,,B. Barry Levy,male,1993
journal-article-10.2307_1486947,book-review,,Mayer I. Gruber,male,1992
journal-article-10.2307_1486959,book-review,,Kalman P. Bland,male,1992
journal-article-10.2307_1487018,book-review,,Ziony Zevit,male,1992
journal-article-10.2307_1487025,book-review,,S. Daniel Breslauer,male,1992
journal-article-10.2307_1486997,book-review,,Kalman P. Bland,male,1991
journal-article-10.2307_1486380,research-article,Religious Law and Change: The Medieval Ashkenazic Example,Haym Soloveitchik,male,1987
journal-article-10.2307_1486260,research-article,"Piercing the Shimmering Bubble: David Shahar's ""The Palace of Shattered Vessels""",Gilead Morahg,male,1985
journal-article-10.2307_1486372,research-article,"Samuel Ibn Tibbon and the Esoteric Character of the ""Guide of the Perplexed""",Aviezer Ravitzky,male,1981
journal-article-10.2307_1486298,research-article,"""Meeting in Jerusalem"": Messianic Expectations in the Letters of the Cairo Geniza",Shelomo Dov Goitein,male,1979
journal-article-10.2307_1486424,research-article,Can Halakhic Texts Talk History?,Haym Soloveitchik,male,1978
journal-article-10.2307_1486311,research-article,Three Trousseaux of Jewish Brides from the Fatimid Period,Shelomo Dov Goitein,male,1977
journal-article-10.2307_1486349,research-article," Three Themes in the ""Sefer Ḥasidim"" ",Haym Soloveitchik,male,1976
journal-article-10.2307_41310629,book-review,,Ryan Szpiech,male,2011
journal-article-10.2307_25654644,book-review,,Claude B. Stuczynski,male,2009
journal-article-10.2307_27564341,book-review,,Noam Pianko,male,2008
journal-article-10.2307_24273557,research-article,"""The Jew Usually Left Those Crimes to Esau"": The Jewish Responses to Accusations about Jewish Criminality in New York, 1908—1913",Gil Ribak,male,2014
journal-article-10.2307_24273558,research-article,Setting Times for Torah Study in R. Shneur Zalman of Liady's Thought,Wojciech Tworek,male,2014
journal-article-10.2307_24273561,research-article,A Story in Three Contexts: The Redaction of a Toseftan Pericope,Binyamin Katzoff,male,2014
journal-article-10.2307_24273564,book-review,,David C. Flatto,male,2014
journal-article-10.2307_24273567,book-review,,Menachem Kellner,male,2014
journal-article-10.2307_24273568,book-review,,Andrew Gow,male,2014
journal-article-10.2307_24273571,book-review,,Alvin H. Rosenfeld,male,2014
journal-article-10.2307_24273573,book-review,,Yitzhak Melamed,male,2014
journal-article-10.2307_24273574,book-review,,Kenneth Seeskin,male,2014
journal-article-10.2307_24273576,research-article,Renaissance in the Graveyard: The Hebrew Tombstones of Padua and Ashkenazic Acculturation in Sixteenth-Century Italy – CORRIGENDUM,David Malkiel,male,2014
journal-article-10.2307_24273647,research-article,King Herod in Ardashir's Court: The Rabbinic Story of Herod (B. Bava Batra 3b—4a) in Light of Persian Sources,Jeffrey L. Rubenstein,male,2014
journal-article-10.2307_24273648,research-article,Study versus Sustenance: A Rabbinic Dilemma in Its Zoroastrian and Manichaean Context,Yishai Kiel,male,2014
journal-article-10.2307_24273649,research-article,"""Like an Expert Sharecropper"": Agricultural Halakhah and Agricultural Science in Rabbinic Palestine",Tzvi Novick,male,2014
journal-article-10.2307_24273650,research-article,A Transgression for the Sake of God—'Averah Li-shmah: A Tale of a Radical Idea in Talmudic Literature,Yuval Blankovsky,male,2014
journal-article-10.2307_24273651,research-article,"Response to Azzan Yadin-Israel on Rabbinic Polysemy: Do They ""Preach"" What They Practice?",Steven D. Fraade,male,2014
journal-article-10.2307_24273653,research-article,Legal Strategy and Legal Culture in Medieval Jewish Courts of Southern France,Pinchas Roth,male,2014
journal-article-10.2307_24273656,research-article,Salo Baron on Emancipation,David Sorkin,male,2014
journal-article-10.2307_24273657,research-article,"Revisiting Baron's ""Lachrymose Conception"": The Meanings of Violence in Jewish History",Adam Teller,male,2014
journal-article-10.2307_24273658,research-article,A Colleague Not a Sacred Authority—Reflections on Salo Baron's Scholarly Opus,David Engel,male,2014
journal-article-10.2307_24273661,book-review,,Elisha Russ-Fishbane,male,2014
journal-article-10.2307_24273662,book-review,,Alan Appelbaum,male,2014
journal-article-10.2307_24273666,book-review,,Matthias B. Lehmann,male,2014
journal-article-10.2307_24273667,book-review,,David Graizbord,male,2014
journal-article-10.2307_24273668,book-review,,Dean Phillip Bell,male,2014
journal-article-10.2307_24273669,book-review,,Richard I. Cohen,male,2014
journal-article-10.2307_24273671,book-review,,Brian Porter-Szűcs,male,2014
journal-article-10.2307_24273673,book-review,,Avi Rubin,male,2014
journal-article-10.2307_24273674,book-review,,Todd M. Endelman,male,2014
journal-article-10.2307_24273678,book-review,,Harvey E. Goldberg,male,2014
journal-article-10.2307_24273679,book-review,,Ben Stahlberg,male,2014
journal-article-10.2307_24273520,research-article,"""We Act as Their Agents"" and the Prohibition of Judgment by Laymen: A Discussion of Babylonian Talmud Gittin 88b",Amihai Radzyner,male,2013
journal-article-10.2307_24273521,research-article,Literary Canonization at Work: The Authority of Aggadic Midrash and the Evolution of Havdalah Poetry in the Genizah,Moshe Lavee,male,2013
journal-article-10.2307_24273522,research-article,Ḥasdai Crescas on the Philosophic Foundation of Codification,Ari Ackerman,male,2013
journal-article-10.2307_24273523,research-article,Renaissance in the Graveyard: The Hebrew Tombstones of Padua and Ashkenazic Acculturation in Sixteenth-Century Italy,David Malkiel,male,2013
journal-article-10.2307_24273525,book-review,,Andrei A. Orlov,male,2013
journal-article-10.2307_24273527,book-review,,David Berger,male,2013
journal-article-10.2307_24273529,book-review,,Jonathan Ray,male,2013
journal-article-10.2307_24273530,book-review,,Mark D. Meyerson,male,2013
journal-article-10.2307_24273533,book-review,,Jonathan Schorsch,male,2013
journal-article-10.2307_24273536,book-review,,Dean Phillip Bell,male,2013
journal-article-10.2307_24273541,book-review,,Jeffrey Veidlinger,male,2013
journal-article-10.2307_24273542,book-review,,Jack Wertheimer,male,2013
journal-article-10.2307_24273544,book-review,,Jonathan Boyarin,male,2013
journal-article-10.2307_24273545,book-review,,Mark Walker,male,2013
journal-article-10.2307_24273547,book-review,,Mikhail Krutikov,male,2013
journal-article-10.2307_24273548,book-review,,Michael Schlie,male,2013
journal-article-10.2307_24273622,research-article,Toward the Source of the Sambatyon: Shabbat Discourse and the Origins of the Sabbatical River Legend,Daniel Stein Kokin,male,2013
journal-article-10.2307_24273623,research-article,"""It Is Permitted to Marry a Kushite""",David M. Goldenberg,male,2013
journal-article-10.2307_24273625,research-article,"The Virgin Mary, Miriam, and Jewish Reactions to Marian Devotion in the High Middle Ages",Ephraim Shoham-Steiner,male,2013
journal-article-10.2307_24273627,research-article,Hannah Arendt's Eichmann Controversy as Destabilizing Transatlantic Text,Adam J. Sacks,male,2013
journal-article-10.2307_24273628,book-review,,Steven D. Fraade,male,2013
journal-article-10.2307_24273629,book-review,,Stephen J. Whitfield,male,2013
journal-article-10.2307_24273630,book-review,,Marc Hirschman,male,2013
journal-article-10.2307_24273632,book-review,,Yair Furstenberg,male,2013
journal-article-10.2307_24273633,book-review,,Tzvi Novick,male,2013
journal-article-10.2307_24273634,book-review,,John Sewell,male,2013
journal-article-10.2307_24273636,book-review,,Jeffrey Shoulson,male,2013
journal-article-10.2307_24273637,book-review,,Benjamin Pollock,male,2013
journal-article-10.2307_24273639,book-review,,Stephen Spector,male,2013
journal-article-10.2307_23319553,research-article,"The ""Halakhic Kernel"" as a Criterion for Dating Babylonian Aggadah: Bavli Ḥullin 110a–b and Parallels",Aaron Amit,male,2012
journal-article-10.2307_23319563,book-review,,Benjamin Brown,male,2012
journal-article-10.2307_23319568,book-review,,Julian Levinson,male,2012
journal-article-10.2307_23319569,book-review,,Jack Kugelmass,male,2012
journal-article-10.2307_23319574,research-article,"Ashes to Outcasts: Cremation, Jewish Law, and Identity in Early Twentieth-Century Germany",Adam S. Ferziger,male,2012
journal-article-10.2307_23319575,research-article,"""Things That Are Better Concealed Than Revealed"": An Historical-Biographical Study of S. Y. Agnon's Attitude toward the Sabbatean Movement and the Traditional Jewish World",Tzahi Weiss,male,2012
journal-article-10.2307_23319576,research-article,Is there a God an sich?: Isaac Breuer on Kant's noumena,George Y. Kohler,male,2012
journal-article-10.2307_23319577,research-article,"War, Revenge, and Jewish Ethics: Rabbi Shaul Yisraeli's Essay on Kibiyeh Revisited",Robert Eisen,male,2012
journal-article-10.2307_23319579,book-review,,Don Harrán,male,2012
journal-article-10.2307_23319581,book-review,,Marc David Baer,male,2012
journal-article-10.2307_23319582,book-review,,Jeffrey Shandler,male,2012
journal-article-10.2307_23319583,book-review,,Paul Burstein,male,2012
journal-article-10.2307_41310618,research-article,"""Keḥi kinnor"" by Samuel Archivolti (D. 1611): A Wedding Ode with Hidden Messages",Don Harrán,male,2011
journal-article-10.2307_41310619,research-article,The Significance of Form: R. Moses of Coucy's Reading Audience and His Sefer ha-Miẓvot,Judah D. Galinsky,male,2011
journal-article-10.2307_41310622,research-article,"""Serious"" Talk",Jeffrey Shandler,male,2011
journal-article-10.2307_41310623,research-article,"The Physics of Being Jewish, or On Cats and Jews",Shai Ginsburg,male,2011
journal-article-10.2307_41310625,research-article,An Ugly Story?,Jonathan Boyarin,male,2011
journal-article-10.2307_41310627,research-article,On Writing about the Seventh Lubavitcher Rebbe and His Hasidim,Samuel C. Heilman,male,2011
journal-article-10.2307_41310628,research-article,Open Secret in the Rearview Mirror,Elliot R. Wolfson,male,2011
journal-article-10.2307_41310630,book-review,,Yair Furstenberg,male,2011
journal-article-10.2307_41310633,book-review,,Jon Sommer,male,2011
journal-article-10.2307_41310634,book-review,,John M. Efron,male,2011
journal-article-10.2307_41310635,book-review,,Abraham Ascher,male,2011
journal-article-10.2307_41310636,book-review,,Brian Horowitz,male,2011
journal-article-10.2307_41310637,book-review,,Jason Benjamin Fink,male,2011
journal-article-10.2307_41310639,book-review,,Gennady Estraikh,male,2011
journal-article-10.2307_41310640,book-review,,Yoram Bilu,male,2011
journal-article-10.2307_41310641,book-review,,Yuval Jobani,male,2011
journal-article-10.2307_41310646,research-article,"Could a Woman Say ""No"" in Biblical Israel? On the Genealogy of Legal Status in Biblical Law and Literature",Robert S. Kawashima,male,2011
journal-article-10.2307_41310647,research-article,"""The Wise Woman from Saida"": The Silent Dialogue between Aggadah and Halakhah Regarding Women and Marriage",Arnon Atzmon,male,2011
journal-article-10.2307_41310648,research-article,"History, Politics, and Messianism: David Ha-Reuveni's Origin and Mission",Moti Benmelech,male,2011
journal-article-10.2307_41310649,research-article,Shameful Ambivalences: Dimensions of Rabbinic Shame,Jonathan K. Crane,male,2011
journal-article-10.2307_41310650,research-article,External Appearance versus Internal Truth: The Aggadah of Herod in Bavli Bava Batra,Yonatan Feintuch,male,2011
journal-article-10.2307_41310654,book-review,,Jonathan Klawans,male,2011
journal-article-10.2307_41310655,book-review,,Arkady Kovelman,male,2011
journal-article-10.2307_41310658,book-review,,Ethan Zadoff,male,2011
journal-article-10.2307_41310659,book-review,,Samuel Thrope,male,2011
journal-article-10.2307_41310660,book-review,,Stanley Mirvis,male,2011
journal-article-10.2307_41310661,book-review,,Don Seeman,male,2011
journal-article-10.2307_41310664,book-review,,Kenneth B. Moss,male,2011
journal-article-10.2307_41310666,book-review,,Matthew Hoffman,male,2011
journal-article-10.2307_41310667,book-review,,Jerry Z. Muller,male,2011
journal-article-10.2307_41310668,book-review,,Willi Goetschel,male,2011
journal-article-10.2307_41310670,book-review,,Robert Adler Peckerar,male,2011
journal-article-10.2307_41310671,book-review,,Arnold Band,male,2011
journal-article-10.2307_41310674,book-review,,Judah M. Cohen,male,2011
journal-article-10.2307_41310676,book-review,,Oren Livio,male,2011
journal-article-10.2307_41310677,book-review,,Michael Berkowitz,male,2011
journal-article-10.2307_40982804,research-article,Classical Rhetorical Arrangement and Reasoning in the Talmud: The Case of Yerushalmi Berakhot 1:1,Richard Hidary,male,2010
journal-article-10.2307_40982806,research-article,"The Comparative Study Of ""Scholasticism"" in Late Antique Mesopotamia: Rabbis and East Syrians",Adam H. Becker,male,2010
journal-article-10.2307_40982808,book-review,,Michael Helfield,male,2010
journal-article-10.2307_40982809,book-review,,Geoffrey Herman,male,2010
journal-article-10.2307_40982810,book-review,,Zvi Septimus,male,2010
journal-article-10.2307_40982814,book-review,,Jonathan Dauber,male,2010
journal-article-10.2307_40982815,book-review,,Pinchas Giller,male,2010
journal-article-10.2307_40982819,book-review,,Stephen J. Whitfield,male,2010
journal-article-10.2307_40982822,book-review,,Joachim Schlör,male,2010
journal-article-10.2307_40982824,book-review,,Zachary M. Baker,male,2010
journal-article-10.2307_40982826,book-review,,David Shneer,male,2010
journal-article-10.2307_40982832,research-article,"War within, War without: Russian Refugee Rabbis during World War I",Andrew N. Koss,male,2010
journal-article-10.2307_40982833,research-article,Targum and Translation: A New Approach to a Classic Problem,Simon G. D. A. Lasair,male,2010
journal-article-10.2307_40982834,research-article,Between Zionism and Liberalism: Oscar Janowsky and Diaspora Nationalism in America,James Loeffler,male,2010
journal-article-10.2307_40982835,research-article,The Origin of Ta'anit Esther,Mitchell First,male,2010
journal-article-10.2307_40982837,research-article,The Dead Sea Scrolls and the History of the Jewish Book,Lawrence H. Schiffman,male,2010
journal-article-10.2307_40982839,research-article,The Jewish Book and Beyond in Modern Times,Jeffrey Shandler,male,2010
journal-article-10.2307_40982841,research-article,"Between Past and Present, Jew and Arab: An Exchange between Gil Anidjar and David N. Myers: The Sound of a Tree",Gil Anidjar,male,2010
journal-article-10.2307_40982843,book-review,,Ronald Hendel,male,2010
journal-article-10.2307_40982844,book-review,,Erich S. Gruen,male,2010
journal-article-10.2307_40982845,book-review,,John Mandsager,male,2010
journal-article-10.2307_40982846,book-review,,Andrew S. Jacobs,male,2010
journal-article-10.2307_40982847,book-review,,Alex P. Jassen,male,2010
journal-article-10.2307_40982848,book-review,,Yosef Rivlin,male,2010
journal-article-10.2307_40982850,book-review,,Evyatar Marienberg,male,2010
journal-article-10.2307_40982851,book-review,,Joshua Holo,male,2010
journal-article-10.2307_40982853,book-review,,Abraham Fuks,male,2010
journal-article-10.2307_40982855,book-review,,Sander L. Gilman,male,2010
journal-article-10.2307_40982856,book-review,,Matthias Lehmann,male,2010
journal-article-10.2307_40982859,book-review,,Ari Y. Kelman,male,2010
journal-article-10.2307_25654605,research-article,Neglected Origins of Modern Hebrew Prose: Hasidic and Maskilic Travel Narratives,Ken Frieden,male,2009
journal-article-10.2307_25654606,research-article,Talmudic Text and Iranian Context: On the Development of Two Talmudic Narratives,Shai Secunda,male,2009
journal-article-10.2307_25654612,book-review,,Jonathan Klawans,male,2009
journal-article-10.2307_25654613,book-review,,Martin S. Jaffee,male,2009
journal-article-10.2307_25654615,book-review,,Eric Lawee,male,2009
journal-article-10.2307_25654616,book-review,,Pinchas Roth,male,2009
journal-article-10.2307_25654617,book-review,,Kenneth Stow,male,2009
journal-article-10.2307_25654618,book-review,,Willi Goetschel,male,2009
journal-article-10.2307_25654619,book-review,,Eric Jacobson,male,2009
journal-article-10.2307_25654620,book-review,,Allan Arkush,male,2009
journal-article-10.2307_25654621,book-review,,Adam Shear,male,2009
journal-article-10.2307_25654622,book-review,,Todd Samuel Presner,male,2009
journal-article-10.2307_25654624,book-review,,Michael A. Meyer,male,2009
journal-article-10.2307_25654625,book-review,,Sebastian Wogenstein,male,2009
journal-article-10.2307_25654626,book-review,,Steven Bowman,male,2009
journal-article-10.2307_25654629,book-review,,Yair Lipshitz,male,2009
journal-article-10.2307_25654630,book-review,,Michal Ben-Horin,male,2009
journal-article-10.2307_25654635,research-article,The Introduction to <italic>Divre binah</italic> by Dov Ber of Bolechów: An Unexamined Source for the History of Jews in the Lwów Region in the Second Half of the Eighteenth Century,Gershon David Hundert,male,2009
journal-article-10.2307_25654636,research-article,In Quest of Babylonian Tannaitic Traditions: The Case of <italic>Tanna D'Bei Shmuel</italic>,Barak Shlomo Cohen,male,2009
journal-article-10.2307_25654637,research-article,Maḥazor Ha-Ḥayyim: Life-Cycle Celebration in the Song of the Ashkenazic Synagogue,Geoffrey Goldberg,male,2009
journal-article-10.2307_25654640,book-review,From Ashkenaz to Zionism: Putting Eastern European Jewish Life in (Alphabetical) Order,Jeffrey Veidlinger,male,2009
journal-article-10.2307_25654641,book-review,,William K. Gilders,male,2009
journal-article-10.2307_25654642,book-review,,Baruch J. Schwartz,male,2009
journal-article-10.2307_25654645,book-review,,Martin Jacobs,male,2009
journal-article-10.2307_25654646,book-review,,Ethan Zadoff,male,2009
journal-article-10.2307_25654647,book-review,,Eric Jacobson,male,2009
journal-article-10.2307_25654648,book-review,,Eugene R. Sheppard,male,2009
journal-article-10.2307_25654649,book-review,,William Plevan,male,2009
journal-article-10.2307_25654650,book-review,,Martin S. Jaffee,male,2009
journal-article-10.2307_25654651,book-review,,Aryeh Botwinick,male,2009
journal-article-10.2307_25654652,book-review,,Ben Wurgaft,male,2009
journal-article-10.2307_25654655,book-review,,Tony Michels,male,2009
journal-article-10.2307_25654658,book-review,,Max Strassfeld,male,2009
journal-article-10.2307_27564325,research-article,The Little Ice Age and the Jews: Environmental History and the Mercurial Nature of Jewish: Christian Relations in Early Modern Germany,Dean Phillip Bell,male,2008
journal-article-10.2307_27564326,research-article,"Whither Jewish Music? Jewish Studies, Music Scholarship, and the Tilt between Seminary and University",Judah M. Cohen,male,2008
journal-article-10.2307_27564327,research-article,Navigating Rough Waters: Alexander Kohut and the Hungarian Roots of Conservative Judaism,Howard N. Lupovitch,male,2008
journal-article-10.2307_27564328,research-article,Luis de Carvajal and His People,Samuel Temkin,male,2008
journal-article-10.2307_27564329,research-article,Irano-Talmudica I: The Three-Legged Ass and Ridyā in B. Ta'anith: Some Observations about Mythic Hydrology in the Babylonian Talmud and in Ancient Iran,Reuven Kiperwasser,male,2008
journal-article-10.2307_27564330,research-article,Job the Patient/Maimonides the Physician: A Case Study in the Unity of Maimonides' Thought,Jason Kalman,male,2008
